,.I,.T,.A,.W
1116,1117.0,mathemat model classif theori,shreider ,set posse specifi studi equival relat establish explor canon system characterist deriv similar common measur subset object investig implic notion problem retriev classif point
1117,1118.0,method thesauru gener,chernyi ,author give definit ir thesauru outlin inner structur describ procedur accumul bodi keyword requir compil vocabulari attempt make determin rate keyword accumul depend number abstract titl process way volum vocabulari relat number document index rule give lexicograph process keyword accumul compil vocabulari algorithm construct design gener articl descriptor thesauru construct algorithm author analyz result word associ test select five import type paradigmat relat formul basic rule translat text describ main subject content document user request natur languag ir languag descriptor block diagram algorithm translat text also give conclus author describ gener principl lexicograph edit mention text
1118,1119.0,axiomat relev toler theori,yakubovich ,consid symmetr reflex call toler structur explor classificatori theorem prove state isomorph embed model space r properti particular set similar relat defin investig
1119,1120.0,grammat element descriptor languag inform retriev system,ivanova  margaritov ,describ activ mechan laboratori niitekhim re institut aim toward creat descriptor inform field chemistri chemic engin object optimum reduct maximum requir introduct former provid matrix notat document latter condit meet help languag exampl consid illustr resolut say larg elimin subject assign relat search pattern request relev formul algorithm base criterion compil experiment search conduct minsk twenti two comput result analyz evalu verifi index principl devis autom retriev system develop factor silenc discus well contribut grammat transform devic reduc nois enhanc recal
1120,1121.0,outlook cybernet comput applic nation system scientif technic inform,mamontov ,paper outlin prospect appli cybernet method analysi synthesi process nation scientif technic inform agenc consid big system differ rank main stage research along line investig
1121,1122.0,analysi regular flow engin inform,solov ev ,theoret proposit consid respect flow engin purpos draw practic conclus edit inform announc public
1122,1123.0,rank distribut scientif inform set,gor kova ,studi carri deal develop scienc term set scientif technic data assum characterist rank provid unbias data reflect process differenti scienc rank set scientif technic inform character format kernel distribut problemat natur phenomenon mathemat model consid use comput valu kernel problemat rank distribut
1123,1124.0,aspect develop studi descriptor inform languag gener technolog,shemakin ,method result endeavor develop inform languag automat system mean handl polytechn collect describ includ gener special term singl word phrase term conduc high recal relev compris classifi lexico semant well tabl gener relat size hundr forti two three seventi three keyword index procedur includ analysi content character keyword elicit natur text creation search pattern use dictionari techniqu describ appli analyz semant aspect constitut element formal model condens content procedur employ translat text languag compris select word titl bodi document main principl retriev effici determin use mathemat statist method give test multi subject collect show probabl eighti recal seventi relev standard deviat twenti five find corrobor result basic experi file two five hundr search pattern use forti two request among factor loss poor qualiti abstract card absenc singl abstract procedur propos abstractor futur charg write abstract keyword ultim descriptor languag experiment result attest feasibl practic sensibl creat multi disciplinari inform retriev system base broad scope descriptor dictionari suggest method document request index
1124,1125.0,contribut theori system inform flow,kozachkov ,certain structur properti explor well gnosiolog aspect relat capabl retriev system base inform distribut method mir
1125,1126.0,evalu index techniqu formal search request statement,frants  voiskunskii  mukosei  kozhina ,evalu index expound feasibl examin use mark document instead call beacon method algorithm formal statement search request describ exemplifi inform retriev system nitrogen industri
1126,1127.0,evalu inform loss probabl index,frants  voiskunskii  frants ,practic techniqu propos assess loss relev basi probabilist method enter mark document system
1127,1128.0,free inform social system,khursin ,examin analyz process format concept function structur reflect human brain establish effect wash nois field cours lead concentr real social valid free public cover finit time span interrel within servic user system show essenti differ scientif v industri inform suppli
1128,1129.0,creat inform languag basi semant text analysi,leontjeva ,discus possibl set il develop grammar logic capabl solv problem diver complex documentari data search text condens automat translat semant ekho propos languag kind structur describ potenti inform follow
1129,1130.0,aspect abstract new techniqu,solovyev ,new develop basi present methodolog requir lay studi textual record model real world reflect logic research mean adopt invari unit characterist purport adequaci semant equival propos criterion evalu precis exhaust aspect base approach could likewis appli index request introduc practic inform analysi techniqu expect rais standard abstract effici document orient retriev
1130,1131.0,algorithm procedur compil list keyword key phrase abstract fizika abstract journal,barinova  chernaya ,algorithm procedur base approach serv isol fizika abstract journal recogn set aid linguist rule feasibl demonstr complet formal process elicit key phrase descriptor dictionari
1131,1132.0,debug technolog autom ir electr engin case studi,malinin  chernyavskii  shneerson ,experi gain adjust debug technolog automat index electr engin refer inform centr outlin procedur appli document handl compar process equip part industri product design correspond term
1132,1133.0,thesauri informat theoret semant,shreider ,possibl discus univers definit concept thesauru structur construct method consid
1133,1134.0,inform retriev learn,serebryanyi ,statement automat describ choic interpret term pattern recognit problem choose result consid well loss record search use experi suggest limit nois level liabl substanti reduct effici choos criterion discus relationship inform retriev learn nondeduct logic investig
1134,1135.0,invis colleg studi experi plan,granovskij  strakhov  murashova ,activ survey form around interdepartment laboratori statist method moscow state univers area analysi member make refer scienc citat index six one thousand nine hundr sixti seven graphic represent invis colleg suggest compar data public cite variou school experi plan basic appli research analyz
1135,1136.0,data retriev system specif problem,shtein ,essenti differ document consid notion fact discuss analyz influenc definit adopt structur proposit advanc factograph jr rudimentari indispens form way logic latter type capabl automat analysi input synthesi new problem inform languag data retriev discus machin organ intric tie specif function system kind
1136,1137.0,logic classif,shreider ,formal definit taxon hierarch combin characterist give establish elementari properti concept interpret convent classif system
1137,1138.0,relev pertin,polushkin ,document request need investig special instanc inform correspond interrel object differ natur term concept relev pertin
1138,1139.0,languag polytechn autom inform retriev system,korolev ,princip design featur describ system use natur descriptor thesauru organ relev criterion index procedur experiment estim languag parametr inform process techniqu
1139,1140.0,symbol natur classif,panova  shreider ,arbitrari consid viewpoint sign function describ give treat refer denot format taxon show preliminari arrang field connect structur natur characterist typolog classif introduc distinguish intension capac express concept independ subject area differ point exist classificatori themat correl two group relationship analyz
1140,1141.0,algebra classif,shreider ,two altern concept isomorph examin show accuraci isomorph structur character certain semigroup import type algebra structur semigroup complet character relat order set gener case perfect order gener correspond hierarch tree case incompar gener correspond facet classif case intermedi two type classif
1141,1142.0,scienc scienc introduct gener scienc scienc,dobrov ,book world soviet give origin represent inform process allow one use quantit method scientometr analyz extens data experi potenti work formul gener principl organ manag disposit modern scientif center particular methodolog problem plan predict scienc examin
1142,1143.0,studi six univers base inform system,marron  fong  fife  rankin ,methodolog categor describ develop appli six univers nsf support studi retail inform center primarili serv campu commun access larg commerci avail data base use three rd gener comput configur system vari design philosophi mode user servic transfer characterist oper statu summari matrix includ
1143,1144.0,automat index,stevens ,state art survey system conduct center advisori servic inform divis institut appli technolog nation bureau standard consider first give compil aid machin includ citat deriv exemplifi key kwic context advantag disadvantag possibl modif improv discus summar relat research effort area categor comput use thesauri statist associ techniqu linguist data process describ major question evalu particularli view evid human inter inconsist conclud base word extract text practic mani purpos today automat assign index classif experi show promis futur progress
1144,1145.0,neighborhood inform center studi propos,kahn ,point departur studi feasibl desir adapt citizen bureau plan unit state carri financi support cooper ford foundat conclud british cab pattern creativ richli implic major sourc valuabl guidanc mere duplic would make optimum contribut current american scene overwhelm evid new advic referr provis necessari want neighborhood inform center nic promis begin attract possibl emerg somewhat differ effort number feder agenc govern local voluntari group howev one provid auspic need function accord qualiti find essenti
1145,1146.0,network research educ,greenberger ,respond heighten reflect continu interest improv use new technolog scienc foundat thousand nine hundr seventi two announc mount expand program explor share potenti nation network support research educ nsf well awar obstacl uncertainti know although shareabl resourc pocket relev experi exist mani peopl involv plan current inform discus possibl one anoth
1146,1147.0,core medic librari practition commun hospit,stearns  ratcliff ,ongo studi design part evalu encourag continu educ program postgradu institut determin need develop report pmi physician consult visit forti commun hospit indic facil gener poor infrequ physician weak fall four categori collect inadequ personnel inadequ space absenc practic index system facilit use collect exist failur deal problem reflect lack interest rather lack stimul absenc concert sourc guidanc respons guidanc pmi undertaken commun hospit develop project co oper new england region servic nerml franci countway librari medicin report concern first phase project name formul list consist minim number textbook journal function core medic librari explanatori letter questionnair send four hundr specialist repres fifti area medic practic includ basic scienc specialist choose region throughout countri request recommend two textbook two journal area special interest consid basic fundament use practition also request recommend make order prefer
1147,1148.0,new industri state,galbraith ,fifti sixti becom customari depict unit state along european japanes counterpart accomplish uniqu sinc creation volum depart accustom cheer impress adult reader alway skeptic ist neo keynesian nirvana life mean easi perhap sen urg call success less individu serv goal great industri militari bureaucraci come econom myth notwithstand compris larg part econom system still could tell herald news would welcom even hear
1148,1149.0,new librarianship challeng chang,wasserman ,among avenu explor follow attract hold might person occup variou subfield work role characterist perspect administr suppli demand facet problem organiz relationship inform center librari educ profession social forc implic network plan central studi rational notion librarianship view static institut commit sole tradit object one capac respons chang environment requir hope intellig gather inquiri certain signific dimens field manpow concern illumin propos influenc futur develop would draw thu investig natur basic research end committedli pragmat
1149,1150.0,new pattern manag,mityaev ,intend person concern human resourc write especi activ engag supervis student administr present new base practic manag achiev best result american govern draw also upon research do maintain rel consist orient focu volum larg problem busi enterpris peopl interest kind institut school hospit labor union profession voluntari howev experi difficulti appli gener principl theori organ
1150,1151.0,unintent duplic research survey reveal instanc belat discoveri inform literatur lead estim duplic cost,martyn ,letter new vol nineteen p eight rate duplic among say estim ten first systemat attempt ass size problem carri aslib depart suggest actual figur doubl consequ cost nation measur million pound put six seven scientist engag industri academ govern includ chemist physicist biologist psychologist mathematician question current research discov literatur inform wish begin project four twenti per cent repli mani make one find total number instanc two hundr forti five
1151,1152.0,non book materi organ integr collect,weihs ,presuppos knowledg basic principl dewey decim classif abridg sear nine th canadian head togeth form simplifi find mani sampl must emphas analysi system choose particular print collect use medium school orient book distinguish essenti element card librari requir detail catalogu consist list option may wish augment materi collat note item necessari minimum complet descript subject studi prior next edit work
1152,1153.0,nonbook materi organ integr collect,weihs ,mani segment societi recogn vital fundament contemporari need provid optimum access essenti abl inform whatev physic format find retriev requir develop code handl medium includ diver kind audio visual materi effect catalogu guidelin accept intern level support profession organ concern problem
1153,1154.0,nonparametr statist behavior scienc,siegel ,book present accord design suit discuss attempt e indic sort data convey notion rational proof underli explain comput give exampl applic behavior scientif research compar parametr equival nonparametr test similar function
1154,1155.0,studi inform request scientif research design,malyarenko ,paper describ method analyz result distribut basi questionnair answer card file subject list sourc form sinc determin content purpos author suggest studi request first phase inform process
1155,1156.0,formul inform request,venediktov  sokolov ,articl present result request inquir elucid engin spent averag ten hour per week search need valuabl sourc studi show stabl life theoret equal twelv journal five six year recommend formul construct refer inform collect
1156,1157.0,definit activ stock,tsiganic ,consid question defin activ stock electr engin field signific attent pay includ special journal use calcul number bibliograph refer make bulletin bibliographi end articl bradford distribut reliabl method discus
1157,1158.0,principl studi inform request,popilova ,earlier consist statist list usabl late increas number consid method analysi public show discern two basic tendenc subfield group research classifi topic attempt make studi request connect process psycholog creativ also establish purpos retriev scientif sourc inform
1158,1159.0,characterist text structur complex,shreider ,articl consid condit v ingv theorem depth applic relat graph phrase govern studi new oper gener syntact structur introduc
1159,1160.0,methodolog problem scientif technic literatur typolog,feldblyum ,two caus inconsist primari document content form examin one inconsist document structur structur inform two insuffici develop theori technic literatur particular typolog primari document suggest concept genr scientif technic literatur introduc base degre materi gener five basic genr examin technic report articl monograph text book refer work practic applic typolog scientif technolog literatur show possibl
1160,1161.0,problem scientif inform theori,shreider ,examin aspect scientif theori connect ass semant characterist statist natur text econom factor signific automat translat method consid point view gener problem inform scienc
1161,1162.0,basic featur inform retriev languag inform retriev titl part one,stokolova  vleduts ,present basic featur design titl public organ chemistri classif term natur specif translat discus method select synthet mean inform criterion semant correspond algorithm briefli describ experi conduct three variant develop discuss conclus drawn benefit languag search recommend make regard field applic
1162,1163.0,thesauru method construct part one,ovchinnikov ,suggest consid hierarch system classifi factor automat construct thesauru pose formal descript input output problem give seri classif concept formul
1163,1164.0,basic featur inform retriev languag inform retriev titl,stokolova  veeduts ,present basic featur design titl public organ chemistri classif term natur specif translat discus method select synthet mean inform criterion semant correspond algorithm briefli describ experi conduct three variant develop discuss conclus drawn benefit languag search recommend make regard field applic
1164,1165.0,issu inform analysi document,polushkin ,scientif process primari scientif document object allow accur unambigu reflect form content primari statement n inform analysi secondari pattern use allow one develop model standard bibliograph abstract document descript minim subject inform analysi object characterist form content document correspond element bibliograph abstract descript must base applic classif scheme characterist must correspond scheme particular structur complex
1165,1166.0,new task inform servic specialist train problem,gol dgamer ,state art refer servic train specialist inform establish describ
1166,1167.0,prospect primari secondari scientif public,sorokin ,problem face special primari present environ rapid public growth discuss acceler publish high inform capac achiev via deposit date edit method situat abstract journal context grow differenti scientif technic disciplin depict
1167,1168.0,analysi biolog public growth basi period sourc,minenskaya ,dynam public investig analysi growth reveal certain uniform evolut scientif commun depend biolog disclos uneven rate develop individu field conclud specialti major factor take account defin volum inform necessari specialist
1168,1169.0,emerg scienc inform,semenyuk ,discus whether possibl sensibl build gener inform author come conclus necessari prerequisit format new disciplin term ripe interrelationship informat investig diagram show place occupi informolog within overal framework scienc inner structur present
1169,1170.0,aspect subject acquisit detail subject retriev patent inform,shenderov ,aspect discus inform servic convent separ two part stock search file build detail retriev design deal specif user request perform analyz use patent exampl task classif research relat subject acquisit system requir formul
1170,1171.0,problem compat inform retriev system requir languag inform network,kulik ,object design state analyz basic oper carri conjunct interact within notion compat discus sine qua non function integr retriev appear promis broad profil document descriptor conceiv complex terminolog nomenclatur control work dictionari system patron compris fragment classifi plu narrowli special term conform file user need concern requir thesauru core inform network languag consid
1171,1172.0,statist analysi publish articl electr power engin,gorkova  mellion ,statist articl publish electr power engin serial period give result refin quantit formul zipf law comput method use serv prototyp analysi abstract journal like public
1172,1173.0,probabl distribut inform flow system,kazachkov  khursin ,paper treat probabl inform flow system present analysi statist model call hyperbol ladder consequ follow model reveal linguist zipf theori scientif inform bradford scienc scienc lotka etc ident mathemat essenc variou investig mani author object studi show link consid basic probabl distribut problem studi modern mathemat theori inform exampl present use distribut regular variou system analysi
1173,1174.0,standard format progress report scientif technic inform,kruglov ,standard progress suggest base experi research institut draw offic schedul section proceed need maximum nois resist report use categori user give exhaust descript final intermedi r result author show differ notion valu dictat specif approach organ flow ari inform duplic data document variou kind develop logic format literari style scientif document
1174,1175.0,syntagmat relat descriptor,chernyi ,syntagmat relat defin connect establish aposteriori combin word phrase senc lack mean record present evalu extent major use descript sr document search pattern analysi publish result experi test one hundr seventi six system oper usa conclus poor perform devic ten aid role accompani ten percent reduct recal link provid approxim increas precis author state gener requir simpl flexibl grammar descriptor show approach suggest t partial implement inform retriev languag radioelectron comput technolog develop institut cybernet ukrainian academi scienc kiev syntol franc
1175,1176.0,techin bibliographi metallurgi,gedrimovich ,articl present preliminari result analysi current specif field conduct chair technic literatur leningrad krupskaya institut cultur bibliographi analyz term select qualiti attent focus mainli perman base rich experi elabor procedur metallurgiya abstract journal show hold lead among chief world public metallurgi respect scope coverag depth index
1176,1177.0,ration structur scienc journal articl,al tshuler ,ration scheme scientif technic articl propos bound improv inform pure formal mean
1177,1178.0,psycholog problem informat prospect solut,novikov ,problem aris creat util scientif industri state subject studi inform scienc labour engin psycholinguist consid analysi suggest conclus new trend research emerg psycholog informat
1178,1179.0,topic aspect informat date,kozachkov ,give method subject discus aim prospect outlin author hold import achiev research field at scienc past year inform flow come view definit understand regular take consider work inform retriev system
1179,1180.0,notat code organ compound,geivandov ,develop provid simpl ration common cyclic fragment convent unit structur benzol ring skeleton condens sequenc even odd integ set rule regular might compon univers notat organ code offer author design cover import broad class compound conjug bond use within framework special comput base inform retriev system capac input intern machin languag
1180,1181.0,origin inform crisi contribut statement problem,yurko ,differ explan face cite show debat necessari give wide use informat author one definit reflect specif histor manifest cumulativist concept progress scienc critic rule possibl find true inform crisi major caus assert lie natur contemporari social product approach studi origin problem suggest
1181,1182.0,bibliographi oper research,kendall ,book document forti eight librarian c bradford discus certain regular pattern distribut articl particular subject differ give exampl distribut geophys twenti eight thirti inclus lubric thousand nine hundr thirti june thousand nine hundr thirti three inclus typic pictur one bibliographi cover certain short term year contribut larg number articl journal contribut few monoton sequenc end larg number journal contribut one articl pattern kind observ sever author bradford first think advanc explan effect bibliograph term
1182,1183.0,oper research implic librari,bookstein  swanson ,recent time character increas rapid expans collect size scope varieti form take item must hous growth expect user among factor contribut complex set manageri decis becom unenvi task furthermor technolog new offer great opportun planner manag make even difficult use tradit intuit approach reason ask whether techniqu oper research r prove valuabl similar situat busi govern might also servic librari
1183,1184.0,compact book storag librari,cox ,method develop optim shelv inventori size particular refer larg librari collect area present n one distinct shelf minim collect character distribut item continu necessari condit extremum recurs optim shelf height solut reduc simpl comput search certain distribut function demonstr exampl addit recurs relat solut differ n simplifi comput consider geometr represent model solut method present maximum increas storag capac express gener simpl function mean maximum item height
1184,1185.0,experiment theori linguist descript,melchuk ,principl tool studi descript natur use book work model type sens similar model actual complet organ sum rule whose pure mechan applic ideal allow one one go languag studi formal descript sen e semant represent semant notat two go give mean e give semant represent text languag studi convey mean propos mean may express one way appropri synonym text construct
1185,1186.0,organ environ manag differenti integr,lorsch jay,characterist requir deal effect book address quit central theme iz tend focu question one best way irrespect extern ment condit face import respect break new ground nevertheless draw heavili earlier field harvard busi school elsewher well literatur behavior scienc author report compar studi ten differ level econom perform three distinct industri environ use unravel appar contradict current organ theori discuss implic find design administr larg organ relat specif market technolog environ also includ
1186,1187.0,organ,march ,easy probabl use give exampl defin term unit steel corpor red cross corner groceri store highway depart latter cours part large new york state govern present purpos need troubl precis boundari drawn around exact distinct non empir phenomena uncomfort way permit fit clean classif author often convinc particular deal signific world acknowledg cheer make claim much think practic execut administr howev mani book practition write theori occupi insignific place modern scienc current sociolog textbook devot even short subject handbook lindzey one thousand nine hundr fifti four contain small group mass medium industri social psycholog pas organ leadership vote behavior compar chapter formal organ scatter refer throughout text
1187,1188.0,organ action social scienc base administr theori,thompson ,book might consid conceptu departur recent fashion conduct inventori alreadi explor berelson steiner thousand nine hundr sixti four mere concept relev import relationship exist identifi gener potenti lack systemat evid eventu must come illustr studi cite indic proposit neither time space bound among hope account also assum one correspond signific organiz differ typic busi govern medicin educ likewis believ direct correl academ disciplin use categori complex organ
1188,1189.0,organ nonprint materi,daily ,object book establish mean collect effici match effect servic less goal worthi consider discus problem organ exampl explain differ treatment respons commun serv vital part modern whatev type school librari make great use far point becom medium center avalanch print form need inform may often satisfi nonprint materi
1189,1190.0,basi informat,mikhailov ,at new disciplin studi fractur characterist regular activ histori system organ book formul subject theori give specif differ kid sourc scientif inform shed light form analyt synthet process expound basic principl inform retriev way mechan automat describ method resourc document copi reproduct
1190,1191.0,basi scientif inform,mikhailov ,present one first attempt basi system organ monograph formul subject theori give specif differ kind sourc scientif shed light form analyt synthet process expound basic principl inform retriev way mechan automat describ method resourc document copi reproduct
1191,1192.0,dinosauru evalu nation lend librari scienc technolog,houghton ,establish lend scienc technolog nll one signific event anship twentieth centuri attempt trace merger impend describ philosophi shape polici servic hope book valu british oversea librarian case studi develop nation librari also student inform work may help appreci context librari evolv oper
1192,1193.0,overview oper ballot,epstein ,ballot bibliograph autom larg oper time share assist book process acquisit catalog depart stanford univers staff video cathod ray tube crt termin perform varieti function involv sever computer result line activ system updat file use data print librari output overnight
1193,1194.0,compact name x gram,walker ,paper present method compact proper give comput storag method present use combin eight letter rather spell letter letter spell algorithm implement comput program use obtain set x gram two larg forti two hundr sixti five forti three eight hundr seventi five give name sampl use x gram obtain possibl repres name sampl one seventi eight bit per origin charact two one bit per origin charact second sampl
1194,1195.0,compar effect titl abstract full text relev judgement,saracevic ,twenti two user submit nineti nine question experiment ir system receiv thousand eighti six document answer receiv first titl abstract final full text abil user recogn relev short format comparison full text judgement observ thousand eighti six answer evalu eight forti three seventi eight judgement three format two seven answer judg relev full text hundr thirti one judg titl one hundr sixti abstract parallel user ir system perform short format drawn
1195,1196.0,retriev bibliograph entri name titl catalog use truncat search key,kilgour  long  leiderman ,experi produc inform util co ordin truncat search enquiri term bibliograph system perform file one thirti two hundr statist number entri associ vari eight length obtain assum use keyboard cathod ray tube termin capabl display ten line text take spell error probabl account deriv key consist author name concaten first three charact titl determin effect least four fifth academ librari
1196,1197.0,retriev singl entri computer librari catalog file,kilgour ,major intellectu challeng confront architect total computer system effici million refer singl swiftli uniqu research concentr retriev multipl posse equal similar characterist howev basic bibliograph organ yield record unequ dissimilar other analog familiar main entri catalog everi librari maintain would associ supplementari index file subject titl call number perhap attribut
1197,1198.0,proceed confer interlibrari commun inform network,becker ,librarian scientist vital concern develop number import reason first concept remov geograph barrier make possibl advanc telecommun technolog second equal access individu purpos sum total nation knowledg resourc long stand educ third network impli posit redirect basic profession goal object librarianship inform scienc
1198,1199.0,method construct minimum redund code,huffman ,optimum method ensembl consist finit member develop minimum redund one construct way averag number code digit per messag minim
1199,1200.0,statist individu variat product research laboratori,shockley ,follow page co winner thousand nine hundr fifti six nobel prize physic novel studi one today preciou commod author measur variat exist research worker also explain differ draw specif conclus relationship salari product proceed reader find especi time ad signific discus particularli view present widespread concern manpow shortag proper util scientif personnel
1200,1201.0,commun epidem process,goffman  newill ,point commun consequ theori studi transmit within member popul need human be could micro organ even machin fundament notion introduc theorem deriv call inform retriev instig defin certain gener properti mechan establish mean discuss pontryagin maximum principl appli problem achiev optim control epidem show equival sens lyapunov result make possibl determin condit stabil without knowledg solut differenti equat repres process
1201,1202.0,pattern classif scene analysi,duda ,purpos write give account major field concern machin recognit mean regular noisi complex environ promin subject base statist decis theori provid formal mathemat classifi pattern repres abstractli attempt find independ construct vector represent yield gener use result instead everi problem acquir collect procedur suit special characterist mani interest pictori domain receiv far attent furthermor work area progress classif pictur descript part ii book devot systemat present topic visual scene analysi
1202,1203.0,pattern use book larg research librari,fussler ,accumul growth without ultim size gener must produc mani institut find difficult resolv rise cost space bookstack scarciti central locat campu land aesthet function limit height bulk area librari build increas complex organ materi servic effici use larg research collect illustr stress strain
1203,1204.0,percept introduct comput geometri,minsky ,goal reach deep concept believ crucial gener studi detail class make decis weigh evid certainli problem great interest real hope understand mathemat structur prepar u eventu go almost unexplor theori parallel comput
1204,1205.0,personnel administr librari,stebbins ,sinc one thousand nine hundr fifti eight first issu addit studi research program experiment contribut chang larg area human relat impact felt librari well industri govern busi present edit view aspect personnel work context use new develop
1205,1206.0,personnel util librari system approach,ricking ,late one thousand nine hundr sixti nearli profess unit state think face sever field support area anship immun work do budget vacanc fill concurr quietli express shortag amelior chang exist time concern juliu r chitwood presid associ appoint ad hoc train pattern assign recommend administr effect way util examin use profession staff librari howev becam committe volunt research job also clear need small segment librari manpow problem could fulli explor result seriou illinoi might nation implic resourc studi seek
1206,1207.0,technic inform project,kessler ,model technic inform describ dr kessler involv literatur take twenti one journal field physic system design construct massachusett institut technolog prototyp oper realist test environ use remot consol access share program develop larg varieti search process techniqu real time well delay output work support nation scienc foundat part mac experiment comput facil mit sponsor advanc research project agenc
1207,1208.0,keep go physic aip current physic inform program offer new product help scientist engin stay date,herschman ,one thousand nine hundr sixti six modest support nation scienc foundat program go back sever year consid major first task face expans augment interdisciplinari physic comput oper scientif inform staff abl analyz extend studi make aip elsewher would formul basic approach
1208,1209.0,journal public obsolesc,pasternack ,orderli commun research may jeopard develop nation inform begin encroach domain primari public system author also believ mass distribut unedit unref often unproof preprint recent propos would put journal busi transform depositori
1209,1210.0,peck order physic journal analysi close million citat put physic review top list order chang adjust impact immediaci,inhaber ,physicist wish commun mean sever weigh choos appropri matter audienc probabl delay public format letter review standard research report articl potenti controversi estim chanc accept differ consider nation pride sway choic author may submit work journal rather one great circul impact publish foreign countri
1210,1211.0,plan academ research librari build,metcalf ,volum deal plan academ research build hous variou kind chiefli book print matter seat accommod facil user quarter librari staff acquir catalogu serv collect addit architectur prefer know non space leave care need sometim assign purpos
1211,1212.0,plan colleg univers librari build book campu planner architect,ellsworth ,intend help campu architect librarian earli stage three aspect deserv care treatment receiv effect autom electron overal organ servic pattern audiovisu learn medium book plan process part build floor cover best light fixtur use kind librari shelv buy matter treat detail metcalf howev tri tell go solv mani problem planner face wherev seem relev proper includ sketch point discuss simplic illustr beg indulg reader
1212,1213.0,plan structur behavior,miller ,plan entir accident quit similar notion guid electron order get imag motion therefor review literatur analog brain comput mind program fundament concern howev discov whether relev men pioneer area remark innoc creatur whose want simul often seem mathematician dream like live anim spite evid refus believ ignor psycholog cybernet prerequisit even advantag must way phrase new idea contribut profit scienc behavior psychologist creat search favor intersect direct cours year long debat
1213,1214.0,practic manag,drucker ,avail today experi need success practic probabl field human endeavor alway tremend perform wider intract book exclud advanc frontier knowledg hope inde make contribut first aim narrow gap do leader manag averag
1214,1215.0,preci manual concept analysi subject index,austin ,fifti i introduc rel british librari twenti year later chain procedur establish standard techniqu bnb pier adopt first issu one thousand nine hundr seventi one explain chang felt necessari consid light new approach handl bibliograph past decad two forc particular affect descript catalogu period firstli introduct comput secondli concomitantli bibliograph data exchang network marc perhap primari exampl respect preci repres parallel develop field tradit tend domin concept offer alphabet file appli obvious system good deal cutter rule dictionari catalog devot problem identifi signific term compound present user access point even entail distort natur languag product invert unselect compon lose entri word unless index also creat case none head would co extens subject document
1215,1216.0,prejudic antipathi tract lc subject head concern peopl,berman ,sinc first edit congress appear sixti year ago increasingli reli chief author sole basi quarrel practic necess save worri reduc work abstractli valu global standard agent mean achiev uniform area would otherwis chaotic undoubtedli real boon scholar well ordinari reader find familiar fairli constant catalog far remov geograph washington dc lusaka zambia knowledg scholarship univers subject scheme ideal manag encompass facet print subsequ collect librari satisfact worldwid read commun realm head deal cultur short human lc list satisfi parochi jingoist european north american white hu least nomin christian prefer protest faith comfort situat middl high incom bracket larg domicil suburbia fundament loyal establish order heavili imbu transcend incompar glori western civil reflect host unten inde obsolet arrog assumpt respect young peopl woman exud someth less sympathi even fair toward organ labor sexual unorthodox avant gard
1216,1217.0,prestig class mobil,svalastoga ,volum contain report sampl survey conduct denmark one thousand nine hundr fifti three one thousand nine hundr fifti four addit author attempt integr survey find relev sociolog theori previou research find
1217,1218.0,principl numer taxonomi,sokal ,purpos book present firm theoret basi show believ advantag convent practic report previou advanc make far furnish newcom field detail step descript procedur employ numer taxonomi
1218,1219.0,principl oper research applic manageri decis,wagner ,write primarili colleg previou background intend consult execut manag nonprofit enterpris govern broad topic coverag also make help student seek career teacher well practition desir date review use half full year introductori cours junior senior graduat curricula central goal book answer question fundament oper research presuppos advanc train busi administr industri engin mathemat statist probabl theori econom therefor main idea reli expert area text assum howev reader entir naiv subject
1219,1220.0,natur inform,ursul ,book consid connect concept philosoph categori reveal possibl appli theoret inform method logic gnosiolog epistemolog theori knowledg
1220,1221.0,problem organ librari collect,hickey ,area often call catalog broadli technic servic student may fall two assum work strictli mechan view organ collect self contain one purpos case studi present help correct error illumin way interperson relat affect charact routin set organiz task broad context total librari situat
1221,1222.0,russian descriptor informat dictionari,chernyi ,dictionari contain gener alphabet list descriptor synonym keyword word combin intend use coordin index document
1222,1223.0,problem inform servic,chernyi ,major prospect meet present critic situat domain commun natur corollari advanc scientif technic revolut develop practic implement special type know integr inform system
1223,1224.0,one model semant inform theori,shreider ,process problem automat translat automat abstract creat need defin explicit concept character properti quantiti inform contain document fact need formal model let u describ process analysi semant analysi could describ point view someon differ concept world e g mean articl contain fact inform peopl specialist give mathemat field therefor formal model must contain descript concept world give observ descript call thesauru semant text analysi interpret chang thesauru respons give text
1224,1225.0,semant synthesi,zholkovskii ,paper describ automat text languag russian primari characterist system semant natur plural synthesi
1225,1226.0,evalu method formal investig text dead languag,shreider ,account give automat decipher histor document use te viniti group leadership probst author consid problem divid text block classif auxiliari root morphem mean variat principl establish correspond relat languag
1226,1227.0,product distribut,machlup ,anyth goe name product distribut sound clearli fell domain analysi hand seem philosoph task though aspect claim sociologist one speak unit state specialist educ feel bailiwick also mathematician oper special commun theori inform system prick ear fact knowledg discuss technolog thu engin may properli interest tri titl studi repres variou disciplin mani rather surpris economist would find qualifi undertak kind research
1227,1228.0,prognost scienc,dobrov ,develop rapid pace modern technic revolut outcom unpreced fact transform scienc ever manner along grow front scientif disciplin immedi product social forc societi
