,.I,.T,.A,.W,.B
2937,2938.0,toward disciplin real time program,wirth ,divid three major categori increas valid sequenti multi program adher strict program use suitabl high level mold complex reason concurr execut constrain t drastic reduc may practic way make real time system analyt verifi ultim reliabl possibl disciplin outlin express term languag modula,1977-08-01
2938,2939.0,abstract mechan clu,liskov  snyder  atkinson  schaffert ,new languag design support construct work methodolog lead realiz three kind control especi data process support well convent languag procedur subroutin provid addit procedur novel linguist mechan support use data control paper provid troduct mechan mean exampl util three kind abstract construct illustr show clu program may write use implement abstract clu librari permit increment program develop complet type check perform compil time also discuss,1977-08-01
2939,2940.0,abstract verif alphard defin specifi iter gener,shaw  wulf ,alphard form provid programm great deal control implement abstract data type paper abstract techniqu extend simpl data represent function definit iter statement import poin interact data control structur languag mean special alphard loop oper abstract entiti without explicit depend represent entiti troduc specif verif techniqu allow properti gener iter express form proof rule develop result obtain common special case loop essenti ident correspond construct languag mean show gener termin also provid,1977-08-01
2940,2941.0,earli experi mesa,geschke  morris  satterthwaite ,experi first user primarili implement discus implic similar program languag suggest specif topic address modul use defin abstract data structur facil mesa equival algorithm coercion benefit type system breach occasion difficulti make treatment variant record safe,1977-08-01
2941,2942.0,algol base implement snobol four pattern,brownlee ,,1977-07-01
2942,2943.0,lucid nonprocedur languag iter,ashcrof  wadge ,formal system write carri particularli easi follow straightforward produc simpli proof proce almost logic reason help axiom rule infer special function unconvent among thing order irrelev equat nevertheless lucid need look much differ iter convent structur program languag use assign condit statement loop,1977-07-01
2943,2944.0,shift garbag collect overhead compil time,barth ,discus techniqu enabl automat storag reclam overhead partial shift paper assum transact orient collect scheme propos deutsch bobrow necessari featur summar implement describ optim requir global flow analysi perform sourc show compil time certain program affect refer count cell deduc inform use find action cancel code execut group achiev improv effici,1977-07-01
2944,2945.0,certif program secur inform flow,denning  denning ,paper certif verifi flow inform exploit properti lattic structur among secur class procedur suffici simpl easili includ analysi phase exist compil appropri semant present correct import applic confin problem mechan prove program caus supposedli nonconfidenti result depend confidenti input data,1977-07-01
2945,2946.0,altern event queue synchron monitor,kessels ,monitor concept propos brinch hansen hoar event use paper describ anoth synchron nearli express condit wait effici implement primit term p v oper give togeth correct proof two exampl present reader writer problem inform stream share finit buffer pool,1977-07-01
2946,2947.0,sitar interact text process system small comput,schneider  watts ,low cost handl text analysi nontechn user mani way compar teract bibliograph retriev sever addit featur implement pdp eleven time share invok microprogram edit use languag design function search templat consist textual desir delimit context hit deliv extens experi sitar show combin simpl command string orient circular file structur crt local memori convers comput produc system much power sum part,1977-07-01
2947,2948.0,termin orient commun system,heckel  lampson ,paper describ full duplex consist commun directli time share small remot comput attach connect medium speed servic larg number termin variou type overal system design present along algorithm use solv three specif problem local echo error detect correct telephon line multiplex charact output,1977-07-01
2948,2949.0,correct proof topolog inform main tenanc protocol distribut comput network,tajibnapis ,order distribut commun must sinc node link sometim crash need updat one major constrain ts scheme may involv central control merit explain quit gener could implement comput network base baran hot potato heurist rout doctrin correct proof topolog inform protocol also present,1977-07-01
2949,2950.0,unifi approach schedul,ruschitzka  fabry ,paper present scheme classifi base formal notion variou class defin relat exist criterion effici develop result definit includ commonli one time invari algorithm depend process rate prioriti deriv abstract model provid framework flexibl real oper system polici driven schedul bernstein sharp discus exampl implement,1977-07-01
2950,2951.0,dynam respons time predict comput network,mamrak ,ultim aim human well technic compon must fulli achiev goal first step toward assist particip vast store resourc avail analyt simul statist perform evalu tool employ investig feasibl dynam monitor capabl provid compar inform user wish process variou applic comput node research clearli reveal suffici data current obtain least five diver arpa studi detail describ predict respons network time share depend measur system activ load level,1977-07-01
2951,2952.0,function realiz word parallel logic two complement addit instruct,warren ,,1977-06-01
2952,2953.0,note recurs elimin,bird ,variou recur elimin appli schemat proc p n x fx gx x fi procedur gener form aris connect tree travers sort algorithm method recurs remov involv use one stack solut compar basi run time,1977-06-01
2953,2954.0,bound storag algorithm copi cyclic structur,,new present copi cyclic list bound workspac linear time unlik previou similar one make assumpt storag alloc system oper like avail high level languag distinct featur algorithm techniqu travers structur twice use span tree case first right leave,1977-06-01
2954,2955.0,buddi system,peterson  norman ,two algorithm implement class dynam storag alloc correspond set recurr relat block size provid analys binari fibonacci weight buddi system give compar simul result also present ternal extern total fragment,1977-06-01
2955,2956.0,idea data type high level languag,gries  gehani ,number issu explor concern notion togeth primit oper among iter element finit set instead narrow n use domain array data need simpl notat allow paramet restrict fashion result problem convers valu one type anoth,1977-06-01
2956,2957.0,databas abstract aggreg,smith  smith ,troduc abstract import conceptu real world transform ionship object high level object new data type call develop certain criterion well define specifi abstract defin collect structur hierarchi n ari relat main tain well define updat oper must preserv two invari well defin relat distinct relat third normal form show notion complementari import databas design top methodolog databas design describ separ decis concern aggreg structur decis concern key identif suggest aggreg type type support real world abstract without troduc implement detail incorpor program languag,1977-06-01
2957,2958.0,abstract data type develop data structur,guttag ,play signific role softwar reliabl effici flexibl s applic techniqu abstract data type among exampl present top develop symbol tabl block structur languag discus proof correct give paper also contain brief discus problem involv construct algebra specif consist complet,1977-06-01
2958,2959.0,system busi autom sba program languag,zloof  jong ,system busi autom sba system within expert nonprogramm describ execut comput user sba view applic manipul inform two dimension pictur tabl busi form report display termin gradual autom applic give exampl system manual manipul inform queri exampl databas languag subset sba program languag,1977-06-01
2959,2960.0,two view data abstract,ledgard  taylor ,,1977-06-01
2960,2961.0,experiment investig util detail flowchart program,shneiderman  mayer  mckay  heller ,paper describ previou seri control experi test aid composit comprehens debug modif statist signific differ nonflowchart group show therebi call question util detail flowchart program research suggest,1977-06-01
2961,2962.0,product employ ph comput scienc one thousand nine hundr seventi six,taulbee  conte ,statist present product employ ph comput scienc calendar year one thousand nine hundr five six data includ profil graduat student faculti sixti ph produc depart well breakdown degre grant specialti area signific trend note comparison compar data gather one thousand nine hundr seventi four seventi five calendar year make,1977-06-01
2962,2963.0,fast algorithm comput long common subsequ,hunt  szymanski ,previous publish algorithm fid log commo subsequ two sequec legth best case run time n two algorithm problem present run time r n log n r total number order pair posit two sequenc match thu bad case algorithm run time n two log n howev applic posit one sequenc match rel posit sequenc run time n log n expect,1977-05-01
2963,2964.0,approach optim design storag paramet databas,milman ,,1977-05-01
2964,2965.0,optim evalu boolean express onlin queri system,hanani ,,1977-05-01
2965,2966.0,choic refer poin t best match file search,shapiro ,improv exhaust search method best match file search previous achiev preprocess step involv calcul distanc paper discus proper choic ts extend previou algorithm use one show refer poin ts locat outsid data cluster result comput simul present show larg improv achiev proper choic locat multipl refer poin t,1977-05-01
2966,2967.0,comparison hardwar softwar associ memori context comput graphic,stillman  berra ,system util creat modifi delet store retriev dimension draw consist poin ts line rectangl triangl apld function duplic tx comput lincoln laboratori leap languag data structur comparison approach softwar simul illustr advantag one process speed two storag requir three flexibl major problem area hardwar associ memori technolog name input output cost effect also address,1977-05-01
2967,2968.0,comparison tree balanc algorithm,baer  schwab ,svr hiht e extens weight e bb wb total restructur balanc binari search compar criterion comparison encompass theoret aspect e g path length implement machin algorithm depend measur e g run time detail analysi code also level believ languag compil independ result overhead spent build analyz guidelin give effici use method insert subsequ queri oper terest pure avl tree present overal best qualiti,1977-05-01
2968,2969.0,optim program data locat comput network,morgan  levin ,optim alloc data present algorithm take account depend occur real heterogen network insight whether convert program one comput anoth also gain search procedur file locat problem describ along exampl possibl applic model,1977-05-01
2969,2970.0,achiev specif accuraci simul output analysi,fishman ,extend queue system analysi output particular estim properti allow result statist includ test check normal assumpt sequenti procedur reli illustr empti idl second exampl frequent enter regen state reduc chanc make costli error preliminari simul run paper also describ method due page nine use obtain specifi accuraci consider few job complet requir varianc reduct techniqu appli,1977-05-01
2970,2971.0,sp k system teach comput program,holt  wortman  barnard  cordy ,compat pl design teach featur choose encourag structur problem solv elimin confus redund make easi compil result suitabl concept use variou applic includ busi data process scientif calcul non numer comput k actual sequenc call one two sp eight troduc new program languag retain construct preced precis defin learn implement without follow subset,1977-05-01
2971,2972.0,proof techniqu hierarch structur program,robinson  levitt ,simplifi correct present formal repres term abstract self contain nonprocedur specif like structur level although manual describ paper also applic semi automat proof preliminari result encourag indic method appli larg program oper system,1977-04-01
2972,2973.0,sort mesh connect parallel comput,thompson  kung ,preset sort two elemet x mesh connect processor requir n rout comparison step best previou take n log n algorithm paper show optim time within small constant factor extens high dimension array also give,1977-04-01
2973,2974.0,comment weight increment linear search scatter tabl,bandyopadhyay ,,1977-04-01
2974,2975.0,remark uniform insert structur data structur,hollander ,,1977-04-01
2975,2976.0,approxim block access databas organ,yao ,,1977-04-01
2976,2977.0,stage hypothesi curv contradictori evid,lucac  sutton ,paper present result studi test shape curv nolan comput develop organ research data process california counti fail support shape curv use basi howev result invalid concept stage analysi suggest altern model budget growth separ model budget growth growth stage develop comput resourc,1977-04-01
2977,2978.0,analysi design altern virtual memori index,maruyama  smith ,class use virtual memori environ describ design within class analyz includ choic search strategi whether page structur whether key compress averag retriev entri index express wieght sum basic key comparison cross page boundari index structur formula retriev possibl combin design give use numer case studi compar retriev cost altern qualit comparison main tenanc cost insert delet reorgan design altern also includ,1977-04-01
2978,2979.0,studi machin cognit use game poker,findler ,progress report present go research effort concern uncertainli risk problem solv process one hand learn system novel techniqu also terest deduct induct infer form optim heurist rule reach similar result although vehicl investig poker conceptu framework provid fairli wide rang applic model judgment choic decis make incorpor larg scale complex program repres descript norm theori behavior teract environ recent establish besid use experi game play enabl human construct machin strategi line question answer advic take mode,1977-04-01
2979,2980.0,edit pictur segment use local analysi graph,tanimoto  pavlidis ,major problem pictur process larg result initi segment grow techniqu either semant inform size contrast perform elimin basi local adjac scheme base definit properti satisfi spuriou region present edit equival fast graph oper number exampl show,1977-04-01
2980,2981.0,subgoal induct,morris  wegbreit ,proof method present altern supplement commonli assert method major virtu often prove loop correct directli input output specif without use invari relat commonli use rule explor particular show subgoal view special form comput set suffici condit present guarante input output specif strong enough induct step proof subgoal induct valid,1977-04-01
2981,2982.0,storag requir preced par,bertsch ,,1977-03-01
2982,2983.0,comparison next fit first fit best fit,bays ,,1977-03-01
2983,2984.0,cost util measur system perform,borovits  ein dor ,present evalu comput term factor measur imbal coeffici indic extent total cost effect util method includ techniqu visual represent system perform,1977-03-01
2984,2985.0,effect chargeout user manag attitud,nolan ,ternal price servic inform evid provid relationship conform gener pattern would expect hypothesi four growth fifteen result also indic characterist advanc stage associ rel high level posit attitud mark increas edp train factor import involv necessari control develop main tenanc comput base system assert categori organiz felt need part prerequisit chang take place research method behavior scienc appli investig user manag environ effect chargeout,1977-03-01
2985,2986.0,oper spar relat,hunt  szymanski  ullman ,variou boolea matric direct graph cotext free grammar do practic algorithm asymptot faster common use exampl oper wirth weber relat n two step show well linear preced function n two step show well comput linear preced function n step n size grammer heart algorithm gener theorem give suffici condit express whose operand spar relat whose oper composit transit closur union invers comput effici,1977-03-01
2986,2987.0,represent mani side polygon polygon line rapid process,,represent line describ allow set consecut side collect examin set side arrang binari tree hierarchi inclus fast algorithm test inclus poin mani side polygon give speed algorithm discus ideal practic exampl show poin t intersect two polygon line locat essenti binari tree search algorithm practic exampl discus represent overcom mani disadvantag associ variou fix grid method repres curv region,1977-03-01
2987,2988.0,memori manag respons time,brown  browne  chandy ,paper present tractabl includ accur effect finit size queue network empir analys studi base appli methodolog actual multiaccess report relat workload variabl requir distribut job swap perform measur respons time util graphic display multiphas analyt solubl model propos broadli applic analysi teract comput system use nonpag memori,1977-03-01
2988,2989.0,empir evalu featur instruct set processor architectur,lunde ,paper present method empir evalu featur instruct set processor isp isp featur evalu term time save featur method base analysi trace program execut concept life troduc answer question like mani use simultan mani would suffici time time would overhead number regist reduc regist use live paper also discuss problem detect desir non exist instruct problem briefli discus experiment result present obtain analyz forti one program run dec system ten isp,1977-03-01
2989,2990.0,effect inform retriev use term accuraci,yu  salton ,perform inform retriev system evalu number differ way much publish evalu work base measur retriev perform averag user unfortun formal proof difficult construct averag case present studi retriev evalu base optim perform specif user concept accuraci troduc probabl occurr document relev queri relat term accuraci frequenc occurr term document collect possibl give formal proof effect respect give user queri number automat index system use success experiment situat among invers document frequenc weight thesauru construct phrase gener,1977-03-01
2990,2991.0,improv access time random access file,clapson ,cluster smooth transform ad open chain pre hash address divis remov sequenti properti set shadow bucket key search sequenc reduc nonuniform load decreas number maximum probe need locat record combin effect techniqu lead improv file perform secondari storag devic show empir studi,1977-03-01
2991,2992.0,number system binari tree,knott ,,1977-02-01
2992,2993.0,occurr cycl phenomenon aris class linear program model,kotiah  steinberg ,investig averag size certain class queue formul ill condit linear program model use ibm packag instanc encount small input data result fact plu sever observ phenomena suggest primari reason know occur frequent round error comput perturb problem suffici least prevent indefinit cycl case maxim minim object function subject constrain set attempt mp solv one give indic infeas,1977-02-01
2993,2994.0,linear algorithm increment digit display circular arc,bresenham ,circular arc draw increment display devic cathod ray tube digit plotter matrix prin ter use sign test elementari addit subtract paper describ methodolog produc dot step pattern closet true circl,1977-02-01
2994,2995.0,decompos instabl satur multiprogram system corrigendum,courtois ,,1977-02-01
2995,2996.0,transient free work set statist,easton  bennett ,transient free averag work set size transient free miss page rate finit sampl refer string defin use appropri content work set start record string unknown certain stationar condit hold provid unbias estim expect work set size miss page probabl terrefer distanc probabl two pair estim show bias express transient free statist obtain term terval statist sever method comput discus use depend length sampl number distinct refer amount main storag avail comput perform calcul particular method describ handl long string contain mani distinct page name,1977-02-01
2996,2997.0,convex hull finit set poin t two three dimens,preparata  hong ,set poi ts three dimes determi n n present use divid conquer techniqu recur appli merg procedur two nonin tersect sinc convex hull requir least n log n oper time complex propos algorithm optim within multipl constant,1977-02-01
2997,2998.0,empir studi list structur lisp,clark  green ,static five larg lisp report analyz paper reveal substanti predict especi among ter atom find obey roughli zipf law govern word frequenc natur languag poin ter usual poin physic nearbi use space effici represent discus wherebi success place consecut memori locat whenev possibl greatli strengthen observ regular list structur show reason assumpt entropi inform content car cdr pair program measur ten fifteen linear seven twelv bit,1977-02-01
2998,2999.0,approach multidimension data array process comput,muller ,recent work develop gener purpos comput base statist data capabl handl multidimension data present attent first give gener problem multidimension tabl follow summari recent develop array process capabl world bank particular system identifi wrap world bank retriev array process system,1977-02-01
2999,3000.0,segment size lifetim algol sixti program,batson  brundage ,characterist requir sampl algol sixti measur distribut thesiz request hold time lifetim result term johnston contour model simpl abstract machin provid new empir evid certain aspect construct behavior real program implic design virtual memori system present discus,1977-01-01
3000,3001.0,detect combin occurr,zobrist  carlson ,paper x one xn finit rang xi take pi possibl chang time suppos desir detect occurr subset variabl achiev particular valu final suppos problem involv detect larg number combin occurr larg number chang valu variabl two effici problem describ method unusu properti faster system sum p one pn large first solut free suitabl case second solut slightli eleg allow negat well conjunct subject possibl error error analysi give second method empir studi report,1977-01-01
3001,3002.0,record file partit model,babad ,main object design reduct storag data transfer cost paper present sever request request requir inform variabl length data item probabl distribut data item length assum know mutual independ file use storag devic may partit sub store differ devic one sub design primari record request record make primari record first access subrecord access pertin inform store primari record present paper nonlinear program mix integ program model gener one sever type file system may deriv appropri select paramet model alreadi use optim librari routin storag larg scale oper system,1977-01-01
3002,3003.0,survey literatur comput scienc educ sinc curriculum sixti eight,austing  barnes ,approxim two hundr comput scienc educ appear literatur sinc public curriculum sixti eight present bibliographi preced brief refer categori survey report activ profession organ philosophi program descript cours materi,1977-01-01
3003,3004.0,structur program cobol approach applic programm,gelder ,techniqu write previou work draw upon adapt present inform terminolog nonmathemat far possibl theorem prove exampl frequent top design implement structur flowchart disciplin specif step verif well form program defin proper use go cobol code practic discus,1977-01-01
3004,3005.0,implic structur program machin architectur,tanenbaum ,base empir studi ten zero line text write goto less languag architectur specif design structur propos sinc assign call return togeth account nineti percent execut special care give ensur statement implement highli compact encod scheme present reduc program size factor three unlik huffman util variabl method use fix length op code address frequent consist singl one byte field consequ instruct decod minim machin effici respect space time,1978-03-01
3005,3006.0,anomali variabl partit page algorithm,franklin  graham  gupta ,five type anomal behavior may occur virtual memori oper system redefin one type exampl concern fact certain refer string algorithm increas mean memori alloc may result increas fault rate two page algorithm examin term potenti refer string exampl variou anomali present two page algorithm inclus gener inclus properti discus anomali implic properti present,1978-03-01
3006,3007.0,complex comput corrigendum,rabin ,,1978-03-01
3007,3008.0,preserv averag proxim array,demillo  eisenstat  lipton ,programm data design often forc choos altern preserv logic adjac usual import consider combinatori problem variou kind structur examin embed graph use model involv scheme elementari proof present consid show linear list bound loss averag proxim store binari tree former result impli instanc row major order asymptot optim storag strategi array,1978-03-01
3008,3009.0,insert delet one side height balanc tree,kosaraju ,recent hirschberg establish insert one side height balanc tree do zero log two n step prove delet also perform zero log two n step answer open problem pose hirschberg,1978-03-01
3009,3010.0,valu orient comput scienc student,anderson ,technolog nontechnolog orient investig special attent complex structur comput student close associ technolog contrast social student often technolog aloof confirm valu rate three hundr thirteen student univers minnesota one thousand nine hundr seventi two comput scienc major find complex valu structur social scienc major,1978-03-01
3010,3011.0,manag util comput american local govern,dutton  kraemer ,tradit concept mi bear littl relat current u exist orient rel applic despit unsophist natur system use surprisingli common also vari extent among local preval govern profession practic support tend depart user less control design implement activ final comput clearli impact top manag mostli involv improv decis inform,1978-03-01
3011,3012.0,use interact inform storag retriev system medic research,lucas ,paper present interact computer storag retriev monitor build comput provid usag addit data user reaction gath red questionnair result show import role play frequent choose laboratori refer leader influenc use implic studi design similar system discus,1978-03-01
3012,3013.0,new method detect step edg digit pictur,schachter  rosenfeld ,note describ two respond step ramp first similar max rather sum x second differ mean median gray level output obtain appli set test pictur compar laplacian third oper use distanc center centroid neighborhood edg valu also briefli consid turn equival one standard digit approxim gradient,1978-02-01
3013,3014.0,sometim sometim well alway intermitt assert prove program correct,manna  waldinger ,paper explor techniqu prove termin simultan approach involv document must true time control pas correspond point need true everi time introduc burstal promis provid valuabl complement convent method present number exampl termin markedli simpler convent counterpart hand show proof correct termin convent techniqu rephras directli proof use intermitt assert final show intermitt assert method appli prove valid program transform correct continu oper program,1978-02-01
3014,3015.0,relax method imag reconstruct,herman  lent  lutz ,recov function variabl experiment integr gray thin strip great larg number scientif area import version medicin obtain exact densiti distribut within human bodi x ray project approach take problem translat avail inform size sparsiti result typic twenti five few one percent coeffici nonzero make use success comput attract compar way solv paper consist inequ arion lie strictli zero two gener sequenc vector assumpt system linear equat method converg minimum norm solut previous propos techniqu show special case procedur differ relax practic consequ imag reconstruct choic relax paramet discus,1978-02-01
3015,3016.0,comparison numer techniqu markov model,stewart ,paper sever numer may use stationari probabl vector markovian exampl nearli decompos system consid obtain differ method examin post mortem reveal standard techniqu often fail yield correct result final mean estim error inher decomposit certain model present,1978-02-01
3016,3017.0,b tree examin,held  stonebraker ,b tree variant increas frequenc propos basic storag multius databas applic three potenti must deal aris tradit static directori structur indic one problem possibl perform penalti,1978-02-01
3017,3018.0,cover edg cliqu regard keyword conflict intersect graph,kou  stockmeyer  wong  watson ,kellerman present method determin keyword conflict describ heurist solv certain combinatori optim connect method optim show equival cover edg graph complet subgraph object minim number complet subgraph relationship edg cliqu cover graph color establish allow either one construct algorithm consequ relationship keyword conflict problem edg cliqu cover problem show np complet p np admit polynomi time approxim algorithm alway produc solut within factor le two optimum,1978-02-01
3018,3019.0,gre advanc test comput scienc,austing ,,1978-02-01
3019,3020.0,systemat recurs remov,auslander  strong ,algorithm strong walker amifi rel pl program aim demonstr systemat techniqu someth complex knuth sturdi toddler obtain measur cost linkag pl save achiev via procedur integr presenc first paper describ recurs illustr recur remov appli two major part exampl final process display perform comparison result present conclus briefli discus,1978-02-01
3020,3021.0,method obtain digit signatur public key cryptosystem,rivest  shamir  adleman ,method present novel properti therebi correspond two import consequ courier secur mean need transmit sinc enciph reveal intend recipi deciph sinc know correspond two messag sign privat hold decrypt key anyon verifi signatur use correspond reveal encrypt key signatur forg signer later deni valid signatur obviou applic electron mail electron fund transfer system messag encrypt repres number rais publicli specifi power e take remaind result divid publicli specifi product n two larg secret prime number p q decrypt similar differ secret power use e mod p one q one secur system rest part difficulti factor publish divisor n,1978-02-01
3021,3022.0,comput scienc faculti current statu minor woman,mamrak  montanelli ,result survey conduct fall thousand nine hundr seventi five determin statu academ comput scienc present faculti member compar respect profession background salari teach load public record research grant analysi data indic verdict one gener equal among woman minor men,1978-02-01
3022,3023.0,architectur ibm system three hundr seventi,case  padges ,paper discus design consider extens distinguish seventi comment experi origin system three hundr sixti effort achiev describ reason object extend cover virtual storag program control data manipul instruct time facil multiprocess debug monitor error handl input output oper final section tabul import paramet variou ibm machin implement architectur,1978-01-01
3023,3024.0,cray one comput system,russell ,paper describ discus evolut account problem overcom manufactur build date satisfi erda class vi capabl twenti million float point oper per second design give scientif immedi access benefit cray process architectur optim compil innermost loop compat ansi one thousand nine sixti six standard mani commonli support extens cft requir sourc modif use addit nonstandard statement achiev vector thu user invest hundr man month effort develop fortran program contemporari comput protect,1978-01-01
3024,3025.0,evolut dec system ten,bell  kotok  hastings  hill ,also know evolv six circa thousand nine hundr sixti three gener implement present cover price ring five one origin evolut oper languag describ term chang requir pdp ten contribut includ acceler transit batch orient time share comput transfer technolog within dec elsewher design manufactur support hardwar softwar develop serv model singl user timeshar interact minicomput microcomput system,1978-01-01
3025,3026.0,evolut sperri univac one thousand one hundr seri torus analysi project,borgherson  hanson  hartley ,sperri univac larg scale main frame begin sixti progress success eight compat comput model late eighti introduc nine seventi seven seri hardwar architectur base thirti six bit word complement structur obtain storag two operand high speed regist thousand one hundr oper system design support symmetr multiprocessor configur simultan provid multiprogram batch timeshar transact environ,1978-01-01
3026,3027.0,develop mu five comput system,ibbett  capon ,follow outlin background project aim discuss descript give set includ number featur conduc product effici compil code high level languag sourc program design processor trace initi idea associ address name store final multistag pipelin structur involv predict mechan instruct prefetch function queue array element access overal view complet mu five complex present togeth brief indic perform,1978-01-01
3027,3028.0,manchest mark atla toric perspect,lavington ,thirti year univers stand develop period six forti one thousand nine hundr fifti five sixti two paper place comput toric context describ architectur system softwar present day terminolog sever design concept address gener store manag evolv progress wider impact manchest innov area discus contemporari perform mark atla evalu,1978-01-01
3028,3029.0,foreword special issu comput architectur,fuller s h ,,1978-01-01
3029,3030.0,exampl hierarch design proof,spitzen  levitt  robinson ,increasingli recogn help construct larg user techniqu claim predict substanti increas product reliabl produc paper describ formal specif implement appli method signific list process problem also discuss number extens current languag eas hierarch program design proof,1978-12-01
3030,3031.0,abstract data type softwar valid,guttag  horowitz  musser ,natur specifi virtu permit represent independ formal specif exampl give employ success level major thrust paper twofold first show algebra axiomat simplifi process prove abstract data type second semi automat tool describ use autom proof correct deriv immedi axiom allow limit test program design time convent implement accomplish,1978-12-01
3031,3032.0,revers path forward broadcast packet,dalal  metcalfe ,node accomplish deliveri includ one transmiss separ two multidestin address three hot potato four span tree five sourc base list add six method exploit procedur data structur alreadi avail revers path broadcast rout store forward packet switch comput algorithm describ practic optim accord metric develop analysi paper also implement exist network less complex requir know altern,1978-12-01
3032,3033.0,optim decis tree heurist guid search,martelli  montanari ,decis convers tackl literatur two approach dynam program branch bound former techniqu quit effect time space requir independ easi give furthermor produc good quasi solut branch bound techniqu use good heurist direct clutter enorm space sinc number solut increas number test variabl accord doubl exponenti paper suggest heurist guid top search algorithm like dynam program recogn ident subproblem use find optim quasi optim solut heurist search method introduc paper combin posit aspect two techniqu compress tabl larg number variabl handl without deriv expand tabl first,1978-12-01
3033,3034.0,detect logic error decis tabl program,ibramsha  rajaraman ,detect logic error limit entri loop free program embed develop equal relat express also assum action variabl occur condit stub decis control transfer tabl base determin whether set linear inequ solut algorithm describ paper implement fortran iv,1978-12-01
3034,3035.0,strateg plan methodolog comput effort high educ empir evalu,wetherbe  dock ,find studi design address press problem associ strateg comput effort high educ present develop test implement univers two year implement effect plan methodolog assess term improv deliveri comput servic major institut role instruct research administr two control institut employ contrast improv test institut result research indic plan methodolog significantli enhanc deliveri comput servic,1978-12-01
3035,3036.0,select optim tab set,peterson  bitner  howard ,new gener comput termin allow select comput featur use reduc number charact need repres document transmiss print note algorithm give select optim set stop minim number charact transmit implement algorithm reduc number charact transmit seven thirti percent requir prepass document comput matrix use determin optim set tab stop use fix tab stop heurist altern achiev eighti percent optim prepass,1978-12-01
3036,3037.0,linear siev algorithm find prime number,gries  misra ,ew algorithm preset fid prime two n algorithm execut time proport n assum multipl integ large n perform unit time method arithmet complex algorithm present mairson six howev version perhap simpler eleg also easili extend find prime factor integ two n time proport n,1978-12-01
3037,3038.0,use encrypt authent larg network comput,needham  schroeder ,use achiev commun comput network discus exampl present establish connect manag authent mail signatur verif document integr guarante convent public key encrypt algorithm consid basi protocol,1978-12-01
3038,3039.0,fli garbag collect exercis cooper,dijkstra  lamport  martin  scholten  steffens ,exampl cooper sequenti process littl mutual interfer despit frequent manipul larg share data space techniqu develop allow nearli activ need garbag detect collect perform addit oper con current processor devot comput proper exclus synchron constraint keep weak could achiev sever complex engend illustr,1978-11-01
3039,3040.0,synthes constraint express,freuder ,represent present combinatori find valu variabl subject set constraint theori network formul relat tree effici algorithm develop achiev level consist desir order preprocess problem subsequ function altern backtrack search explicitli determin solut,1978-11-01
3040,3041.0,median split tree fast lookup techniqu frequent occur key,sheil ,ew techiqu set highli skew frequenc distribut binari node contain two node maxim frequent subtre partit remain key respect lexic order leave right subtre median split use lexic median node descend split valu forc perfectli balanc achiev space effici represent high speed unlik frequenc order binari tree cost success search log n bind stabl around minim valu mst build give key order set frequenc time n log n oppos n two optimum binari search tree discus applic mst dictionari lookup english present perform obtain contrast techniqu,1978-11-01
3041,3042.0,power tree,luccio  pagli ,new present balanc maintain iye path pk asymptot grow power height bad case give class consid restrict ipk buildabl procedur averag behavior studi extens set simul run close avl particular famili ipo tree whose main advantag reduc number restructur requir node insert analyz,1978-11-01
3042,3043.0,distribut process concurr program concept,hansen ,languag concurr without common variabl introduc commun synchron mean call guard region concept propos real time applic control microcomput network storag paper give sever exampl distribut show includ procedur coroutin class monitor process semaphor buffer path express input output special case,1978-11-01
3043,3044.0,note condit express,friedman  wise ,evalu condit express may succeed even decid predic diverg altern record node whose field differ content,1978-11-01
3044,3045.0,simpl recoveri procedur simpl preced parser,ripley ,method describ enabl simpl preced recov attempt repair make yet pars semant process continu result good first approxim syntax error handl neglig increas par time space complex parser tabl gener,1978-11-01
3045,3046.0,comput gener gamma random variabl ii,tadikamalla ,reject gener gamma variat nonintegr shape paramet one similar give fishman wallac tadikamalla faster two core storag requir program effort similar wallac tadikamalla comput time propos remain fairli constant medium larg valu superior time obtain ahren dieter valu propos method simpler ahren dieter method,1978-11-01
3046,3047.0,use synthet imag regist real imag surfac model,horn  bachman ,number analysi task benefit registr navig visibl radar exact addit automat classif satellit eri deal correctli effect vari sun angl slope even inspect certain industri part may improv mean achiev requir align match real obtain know posit light sourc synthet imag intens calcul map conveni way describ reflect function surfac gradient illustr techniqu use landsat imag digit terrain model,1978-11-01
3047,3048.0,perform evalu highli concurr comput determinist simul,kumar  davidson ,present practic techniqu perform evalu altern configur highli concurr comput techniqu describ construct detail determinist control stream replac instruct data stream real simul model yield time resourc usag statist need perform evalu without necess emul case studi implement simul model cpu memori subsystem ibm three sixti nineti one describ result evalu altern system design discus experi reveal case studi major bottleneck system memori unit fix point unit appear mani sophist pipelin buffer techniqu simplement architectur ibm three sixti nineti one littl valu high speed cach memori use ibm three hundr sixti one hundr nineti five,1978-11-01
3048,3049.0,simpli extend modifi batch environ graphic system sembeg,wendorf ,complet contain handl display content file varieti hardwar perform oper easi modifi meet grow need larg batch environ even extend fulli interact paper present conceptu view lead outlin major design find upon assumpt true aim comput describ rather commonli hold input output function capabl build around basic data manag system common mean commun variou compon sembeg bagdam facil store retriev manipul descript entiti provid receiv applic program packag graphic devic,1978-11-01
